Sample;Classification
A. Stainless steel piping for the complete lubricating oil system;1
"B. The supply and return piping and tubing for the lubrication and hydraulic systems
shall be stainless steel downstream of the filters with welded connections";1
7. Stainless steel natural gas manifolds and piping;0
Stainless steel piping for the complete lubricating oil system;1
"B. The supply and return piping and tubing for the lubrication and hydraulic systems
shall be stainless steel downstream of the filters with welded connections.";1
7. Stainless steel natural gas manifolds and piping;0
Stainless steel shall be used for the Lube Oil System (downstream of filters).;1
Stainless steel shall be used for the Lube Oil System (downstream of filters).;1
"Stainless steel oil pipes downstream of the main filters. The vibration levels for the pipes
shall not exceed 14 mm/s.";1
"All piping assemblies and fittings downstream of the suction filter shall be of appropriate
stainless steel.";0
"The lubricating oil and
control oil pipelines shall use stainless steel seamless pipes and the their
flanges shall be provided with anti-explosion oil boxes";1
"All oil return pipes for lubricating oil system, control oil system shall use stainless steel
seamless pipe of grade above 0Cr18Ni9. Minimum pipe wall thickness is series 40 or equivalent
standard wall thickness. The cooling water pipe shall be carbon steel and the outer layer of
buried pipeline shall be protected by coating according to stipulation of article 2.2.5. Fire hose
shall be made with 316 stainless steel.";1
"The pipe and accessories used in the gas turbine oil system should be of sufficient strength, with
at least one pressure level higher than others. It should minimize connections between the
flange and pipe joints. The oil pipeline close to the steam pipe should use protective structure,
and accessories in the oil system shouldnot use cast iron. All oil pipes are available in a set or
single pipe construction. All welds are welded by argon arc. The pipeline and accessories in oil
system should be all stainless steel, and flange use welded stainless steel flange. And there
should bemeasures to prevent possible leakage of oil on the steam pipe. Oil system valve
should use preferred medium-pressure welding valve in stainless steel. Oil pipe valve should";1
The lubricating oil filter should be as close as possible to the transmission point of the generator set. Pipes from the last filter to the generator connection point are made of stainless steel.;1
"The downstream part of
the filter that is in contact with the air should be made of stainless steel.";0
All lubricating oil pipelines are made of seamless stainless steel tubes above 0Cr18Ni9.;1
"(b) Lubricating oil pipeline shall be all made of stainless steel materials. Pressure pipeline shall refer to
seamless pipeline. Control oil and sealing oil pipeline shall refer to stainless steel seamless pipeline,
and the oil pipeline flange shall be provided with anti-explosion oil box.";1
"b) Lubricating oil pipeline shall be all made of stainless steel materials. Pressure pipeline shall refer to
seamless pipeline. Control oil and sealing oil pipeline shall refer to stainless steel seamless pipeline,
and the oil pipeline flange shall be provided with anti-explosion oil box.";1
"Inside of carbon steel pipe (stainless steel) for lubricating oil system shall be acid pickled, and immersed
with hot alkaline solution or cleaned through alkali vapor spraying, at the same time, bare metal shall be
provided with proper anti-corrosion measures to prevent being damaged.";1
"The applicable stainless steel seamless pipes shall be adopted for the manufacturing of all lubricating oil
pipes.";1
All lube oil pipe use stainless steel , and have fire prevention measures .;1
"Oil pipe use the stainless steel which is not lower than 304 grade , use argon arc welding backing welding
process , as far as possible not to use the flange connection for the oil pipe, reduce oil leak point. Oil system
valves and other accessories use stainless steel material not less than 304 grade .";1
"Seamless stainless steel pipe of 304 or above shall be used as oil return pipeline of lubrication
system";1
"Pipe from
the last strainer to connection of generator unit is made of stainless steel.";0
"The installation fittings of filtration device and filter should use 304L or above level stainless steel
material .";0
The downstream of filter that contacts with air shall be of stainless steel.;0
Pipe from the last strainer to connection of generator unit is made of stainless steel.;0
Lubricating oil system pipeline shall be all made of stainless steel materials and reinforced thick walled tube.;1
"Lubricating oil pipeline shall be all made of stainless steel materials.
Pressure pipeline shall refer to seamless pipeline. The applicable stainless
steel seamless pipes shall be adopted for control oil pipeline.";1
"Stainless steel shall be adopted for manufacture of lubricating oil system
piping.";1
Lubricating oil pipeline shall be all made of stainless steel materials. Pressure pipeline shall refer to seamless pipeline. The applicable stainless steel seamless pipes shall be adopted for control oil pipeline.;1
"Lubricating oil pipeline shall be all made of stainless steel materials. Pressure pipeline
shall refer to seamless pipeline. The applicable stainless steel seamless pipes shall be
adopted for control oil pipeline.";1
Stainless steel shall be adopted for manufacture of lubricating oil system piping.;1
"Lubricating oil pipeline shall be all made of stainless steel materials (not lower than 0Cr18Ni9 .
Pressure pipeline shall adopt seamless steel pipeline. Control oil pipeline shall adopt stainless steel
seamless pipeline and oil piping flange shall have anti-explosion oil box.";1
"Lubricating oil pipeline shall be all made of stainless steel materials (not lower than 0Cr18Ni9 .
Pressure pipeline shall adopt seamless steel pipeline. Control oil pipeline shall adopt stainless steel
seamless pipeline and oil piping flange shall have anti-explosion oil box.";1
"Inside of carbon steel pipe (stainless steel) for lubricating oil system shall be acid pickled, and
immersed with hot alkaline solution or cleaned through alkali vapor spraying, at the same time, bare metal
shall be provided with proper anti-corrosion measures to prevent being damaged.";1
For oil pipelines, stainless steel pipes shall be used;1
"The stainless steel seamless pipes shall be adopted for the manufacturing of all lubricating oil
pipes.";1
"?All pipes
of lubricating oil, control oil and jacking oil are made of stainless steel (quality no less than 0Cr18Ni9";1
"All pipes and valves used in seal oil system shall be made of stainless steel (no less than
0Cr18Ni9).";0
"(all the
oil system piping shall use 304 stainless steel or higher class";1
"Pipe from the last strainer to connection of generator unit is made of
stainless steel.";0
"Stainless steel shall be adopted for connecting piping, flanges, and bolts etc
from final filter to oil inlet point at bearing.";1
"The lubricating oil system (including the pipes, pipe
fittings, valves and accessories) shall use stainless steel.";1
"Lubricating oil pipeline shall be all made of stainless steel materials (not lower than 06Cr19Ni10 .
Pressure pipeline shall adopt seamless steel pipeline. Control oil pipeline shall adopt stainless steel
seamless pipeline and oil piping flange shall have anti-explosion oil box.";1
Inside of carbon steel pipe (stainless steel) for lubricating oil system shall be acid pickled,;1
For oil pipelines, stainless steel pipes shall be used (not lower than06Cr19Ni10);1
"The stainless steel seamless pipes shall be adopted for the manufacturing of all lubricating oil
pipes.";1
"All pipes and valves used in seal oil system shall be made of stainless steel (no less than
06Cr19Ni10).";0
Pipes from the last filter to the generator connection point are made of stainless steel.;0
"The downstream part of the filter that is in contact with the air shall be made of
stainless steel.";0
"The applicable stainless steel
seamless pipes shall be adopted for lubricating oil and control oil pipeline;
minimum thickness of pipe wall shall be not less than Sch40 (or same national
standard wall thickness). Oil pipeline flange shall be provided with anti-explosion
oil box.";1
"all flow-passing parts of the oil purification
device, pipelines and oil tank shall be made of 304 stainless steel";1
"The pipeline, valve, etc. of the hydrogen cooling
system are made of stainless steel material.";0
Lubricating oil pipeline shall be all made of stainless steel 304.;1
"All pipelines and accessories in the lubricating oil system shall be
made of stainless steel. Stainless steel flanges are welded.";1
All pipes of jacking oil system shall be made of stainless steel pipe.;1
. interconnecting piping, made of stainless steel.;1
"Piping
Seamless, corrosion-resistant stainless steel pipes (1.4571) shall be used for the lube
oil pipes.";1
• Lubricating oil system piping shall be stainless steel;1
"Lubricating oil return lines from all shaft bearings shall have a sight glass and remote temperature
indication and be made of stainless steel.";1
Piping/tubing material for lube oil downstream of filters, hydraulic oil, jacking oil, fuel downstream of final filters, control air, purge air, turbine blade/rotor cooling medium (e.g., air or steam), and NOx control diluent, as applicable, shall be stainless steel.;1
Tank, pipes, nozzles and valves shall be made of stainless steel.;0
"The air filtration system shall be designed for an air flow corresponding to 110% of maximum
continuous operation flow of gas turbine.";0
"In general, the filtration system shall include weather hoods and stainless steel trash screens,
defogging modules, air filters, silencers for dust extraction fans based on design";0
The control system shall be located inside the control room of the gas turbine.;0
"Except for specialized hydraulic units with 4 kW or less, submersible pumps shall
not be used in reservoirs.";0
"All materials shall be in accordance with ASME B31.1, and project specification for
piping and valves.";0
Piping shall be fabricated and installed in accordance with ASME B31.1;0
All piping materials shall be in accordance with ASME B31.1 and guidelines setforth.;0
Piping shall be fabricated, cleaned, and installed in accordance with ASME B31.1;0
"Lube oil piping which are not protected by fire protection system shall not have
flanged connections.";0
"The thermal design shall include a suitable fouling factor of
not more than [85%].";0
"The lube oil reservoir shall
be common for both lube oil and control oil.";0
"The auxiliary pump shall be driven by an AC electric motor
and it shall operate automatically upon the lube oil system falling below normal
operating pressure.";0
"Instrumentation shall be provided for local monitoring of the operation of the
equipment. The lube oil purifier and pumps shall be arranged for both automatic and
local manual control. Pressure measurements (local & remote) to be provided for
jacking oil pumps.";0
"Turbine generators shall be equipped with a permanently connected centrifugal lube
oil purifier designed to continuously purify the entire contents of the lubricating oil tank
over a 24 hour period.";0
"Lube oil and jacking oil pipes shall be mounted with a double envelope type or housed in a
leak tight duct (with inspection and repair hatches).";0
The redundancies of the electrical equipment shall not be less than that for the mechanical equipment. The electrical auxiliary systems shall be designed such that a single failure within the auxiliary power supply system shall not lead to a unit shut down. However, the generator manufacturer’s proven standard design for low voltage distribution shall also be accepted subject to Employer/Engineer’s approval.;0
"Maintanability
All plant and equipment shall include the provision of suitable isolation to allow for on-line maintenance and/or removal of the equipment without the need for the associated system to be shutdown.";0
"The Engineer shall have access to the Contractor’s Document Management System, if available, to view
drawings through the web.";0
"It is solely at the discretion of the Employer or the Engineer to decide
whether or not documents are acceptable.";0
"The Contractor has to submit drawings, diagrams, graphs, curves and all such information necessary to
verify that the goods he intends to manufacture comply in every respect with the requirements of the
Contract.";0
"As soon as the quality, completeness and conformity with the Contract
Specification has reached a satisfactory level, the Contractor shall issue the drawings and documents for
approval, in line with the time frame as detailed below.";0
However, a maximum of 85dB(A) shall not be exceeded in 1 meter distance to any equipment.;0
"For Gas Turbine and Steam Turbine, the design, manufacturing, method of application, finish etc. for the
equipment insulation shall be defined for the relevant operation area and task and shall be realized
according to international standards and/or proven OEM standard specifications.";0
Where electrical equipment is located in a room, two (2) doors shall be provided unless otherwise approved.;0
The GTG/STG manufacturer’s standard design of voltage levels shall also be accepted subject to approval.;0
AC systems: continuous operation between 90-110% of rated voltage, operation at 80% voltage for short durations (minimum 30 seconds).;0
All cubicles, desks and panels shall be provided with a natural air circulation ventilation system. All control equipment shall be designed to operate without forced ventilation.;0
"All electrical equipment mounted in the switchgear, panels and desks shall have readily accessible
connections and shall be wired to terminal blocks for the reception of external cabling.";0
Generally, analogue measurements using field transmitters instead of binary switches shall be provided.;0
"Protection and critical control signals shall be hardwired between the DCS process control stations, and
transferring those signals via bus systems is not acceptable.";0
All wiring/interconnections between card sockets will be done on the backside of the cubicles, freely accessible for maintenance.;0
Direct cabling of cards is not allowed.;0
"Suitable means of earthing shall be installed to prevent any damage to bearings, oil pump drives, etc., by
any shaft currents, which may be produced.";0
"The hydraulic turning gear shall be operated by the hydraulic oil system, which is to be supplied separate
from the lube oil system.";0
The lubricating oil used shall be identical to that of the GT lube oil.;0
Fire resistant lube oil / hydraulic oil shall be used.;0
"Separate high-pressure hydraulic control oil system for BPST shall be provided for actuation of the control
valves, stop valves, turning gear and safety equipment.";0
The provided lube oil and control oil cooling system shall have a margin of minimum 25%.;0
"All components of the BPST unit attaining a temperature in excess of 500C during normal continuous
operation shall be heat-insulated, except the oil system.";0
"Thermometer pockets shall be provided on each sleeve bearing with a temperature transmitter for
monitoring and alarm to provide warning of excessive oil temperature. However, measurement of oil
temperature in oil return line from bearing is acceptable..";0
RTDs for monitoring the bearing metal & bearing oil drains.;0
All bearings shall be fitted with all the necessary instrumentation to indicate lube oil temperature locally and remote, oil flow, bearing white metal temperature vibration monitoring probes compatible with those used on the turbine bearings.;0
The oil tank capacity and the duty of the main lube oil pump shall be such that the number of circulations per hour does not exceed eight (8).;0
In case the AC motor driven main oil pump is offered, the DC motor driven emergency lube oil pump shall be of 100% capacity of the main lube oil pump.;0
On load lube oil tank filling connection with safety strainer, spring caps, semi – rotary hand Operated oil pump and hose arrangements;0
"lube oil tank, internally coated with a suitable
corrosion-proof paint (alternatively it may be stainless-steel material)";0
"The lube oil cooler shall have 316 stainless steel tubes and tube sheets, fully in
accordance with TEMA C standards, with tubes not less than 5/8 inches BWG 18, designed
for not more than 0,5 bar pressure loss in the cooling water side.";0
"Electric immersion heaters shall be provided for the lube oil tank to operate during idling
condition and before start-up of the pumps, designed in accordance with the applicable
requirements of the API standard 614 for lube oil systems.";0
"Lube Oil Coolers
The two 110% lube oil coolers shall be provided. Coolers shall be
arranged such that any fluid leaks will not cause equipment damage.";0
"Oil tank(s) shall be equipped with an oil level sight glass installed on the suction side of the
tank, alarm switches to signal high and low oil levels.";0
"Each lube oil tank shall be provided with a set of removable strainers of fine-mesh size
(mesh No. 50-100 per cm2) for filtering the returning oil drains.";0
The oil reservoir shall be made of stainless steel plates complete with a level gauge, a low-level alarm switch and a temperature indicator.;0
The battery capacity shall be rated for safe plant shutdown (including emergency oil pumps and barring gear) plus operation of UPS for a minimum of five (05) hours without AC power.;0
"The interiors of the oil reservoir shall be descaled and epoxy
coated or alternatively shall be made of stainless steel.";0
"Oil heaters shall be provided by the bidder as per standard
practice.";0
"Cooling of oil shall be effected in a closed circuit water system
where oil is cooled by DM water supplied by equipment cooling
water system of the plant.";0
Allow oil pressure switch for alarm purpose shall also be furnished.;0
"All lubricating oil lines under pressure shall be contained
within guard tubes.";0
The lubricating oil system shall be fitted with redundant lubricating oil filters and redundant lubricating oil coolers.;0
One main and one auxiliary oil pump, each of 110%  full capacity, shall be provided.;0
The hydraulic oil system shall be part of the lube oil module.;0
"A stainless steel water tank with DM water supply line, heeters, vent, drain etc. Capacity of the tank
shall be sufficient to . meet one complete washing cycle requirement of one unit.";0
the oil temperature leaving the bearings shall be provided;0
Each steam turbine unit shall be provided with a complete self-contained lubrication oil system;0
Tank Interiors: Descaled and epoxy coated or alternatively made of stainless steel.;0
A single software version shall be used throughout the plant. Earlier versions shall be upgraded where appropriate to meet this requirement.;0
8. Software associated with packaged systems PLC’s, protection relays, excitation systems, instruments, transducers, analysers, standalone control and monitoring systems, etc., shall be handed over to the Employer on dedicated lap-tops, which have the necessary hardware also to interface with these systems. The Contractor shall provide full details in the tender how many lab-tops will be provided.;0
4. The ST and GT control systems shall not be regarded as packaged systems, as these systems are fully integrated into the DCIS.;0
3. All servers and computers shall be mounted in specifically designed, free standing cabinets.;0
2. All printed circuit cards, modules, etc. shall carry a nameplate indicating their title and the associated control loop.;0
12. Cubicles with electronic electrical or control equipment shall have fire detection and protection mechanisms installed. A VESDA or equivalent system shall be provided which continuously monitors the condition inside each cubicle. Upon detection of a fire, inert gas shall be injected into the cubicle(s) to suffocate the fire at its source.;0
"It is acknowledged that a Contractor may combine one or more of the above
as a single document. However the Employer reserves the right to request a
Contractor to submit the above as separate documents";0
"The PQP shall cover activities both at Manufacturer's Works and Construction
Site and shall be subject to evaluation and acceptance by the Employer
before start of manufacturing works. The PQP shall also make reference to or
include details of sub-supplier’s quality plans in its contents.";0
"The Contractor is required to prepare manufacturing works (WQP) and site
construction/erection quality plans (SQP) for all plant items and services
provided under the Contract";0
the training book shall to be developed in until 3 inch wide each with 4-ring binder.;0
The training will continue during commissioning, allowing them to operate each piece of equipment, each system and each local panel until they become familiar with it.;0
In case one or more operators are not ready yet and reinforcement may be required, some extra classroom training can be scheduled in order to bring them to the level expected.;0
Part of the training program will be instructed by vendors and will cover all the equipment and systems (electrical and instrumentation) in the plant.;0
During the commissioning, the core personnel will perform activities, becoming familiar with the system configuration and designation.;0
Sight glasses for lube oil flow from each bearing.;0
The lube oil tank of the gas turbine shall be made of stainless steel.;0
"The clearance between
rotor and seal ring shall be supplied with seal oil to ensure a liquid seal ring. The design shall allow the use
of lube oil as back-up to seal oil.";0
The generator lube oil system will be connected to and fed from the steam turbine lube oil system.;0
"The lubricant tank should be the stainless steel plate welding structure with high quality 304 and
above.";0
"Design, manufacture, installation and test of the storage tank shall comply with provisions in the
approved standards on horizontal and vertical low-carbon steel welding storage tank.";0
"The oil tank shall be made of stainless steel plate and supplied in whole set with oil lever indicator, alarm
switch for low oil level and temperature indicator.";0
"The oil tank is made of stainless steel plate and supplied as a whole together with oil level gauge, low oil
level warning switch and temperature indicator.";0
"The lubricating oil tank shall be welding structures of high quality 304 or above stainless steel plate, and
its capacity shall provide the volume below the minimum working oil level (no less than the capacity of oil
circulation for 5 minutes) under the normal operation condition.";0
The oil tank shall be made of stainless steel plate and supplied in whole set with oil lever indicator, alarm switch for low oil level and temperature indicator.;0
The oil tank shall be made of stainless steel plate;0
The lubrication tank shall be the welding structure of stainless steel plate (304), and its capacity satisfies that the volume below the minimum operating oil level provided under normal conditions shall not be less than the oil circulated capacity for 5 minutes.;0
The lubricating oil tank shall be welded of stainless steel 304.;0
"Instrumentation with compressed air pipes should be 316 stainless steel. Welded joint shall
be used for the pipeline, if screwed joint is used, seal weld shall be adopted.";0
Local junction box should be made of stainless steel;0
"The material should adopt
316 stainless steel and the protection level shall be not less than IP56 (except for the cabinet in
electronic equipment room).";0
"One (1) lubricating oil inspection oil tank made of high-quality carbon steel is provided, with
the volume of not less than 120% of the oil volume of the full set of unit.";0
"One (1) control oil inspection oil tank made of stainless steel 316 is provided, with the volume
of not less than 3m3.";0
"The tank should be made of high quality 316 and above stainless steel plate, and is supplied with
oil level gauge, low oil level alarm switch and temperature indicator.";0
"The muffler
should be constructed of stainless steel or marine aluminum.";0
"The excitation transformer shall have an anti-magnetic shell, use 304 Stainless Steel and the
protection grade shall not be less than IP32.";0
"The muffler should be constructed of stainless
steel or marine aluminum.";0
The NERs shall be of a stainless steel wire wound resistor type.;0
"Multicore cables shall have galvanised steel wire armouring. Single core cables shall have
Aluminium wire armour.";0
Stainless steel or coated carbon steel lube oil and hydraulic oil reservoirs;0
Dual, full-flow filters with transfer valve for lubrication oil system and hydraulic oil system.;0
When two AC motor-driven pumps are provided, each main lube oil pump and each hydraulic oil pump shall be maintainable while the other redundant pump is in operation.;0
5.4 Carbon steel reservoirs shall be internally coated with Dupont Rustban 97 or Owner -accepted alternative.;0
19.1.3 Where flanges are supplied on lube oil and/or hydraulic oil piping, guards shall be applied where necessary to prevent spraying of oil in an uncontrolled manner from a gasket leak and/or flange bolt areas.;0
The lube oil purifier and pumps shall be arranged for both automatic and local manual control.;0
Turbine generators shall be equipped with a permanently connected centrifugal lube oil purifier designed to continuously purify the entire contents of the lubricating oil tank over a 24 hour period.;0
"The lubricating oil transfer and conditioning system shall include a dirty lube oil storage tank, a
clean oil storage tank, clean oil and dirty oil transfer pumps and an additional centrifugal type lube
oil purifier system.";0
The complete unit shall be self-contained in a sheet steel enclosure with IP41 degree;0
"cables shall have galvanized steel wire
armour with a thermoplastic";0
Provision of Coast down tank shall be made in the Lube Oil System;0
"The lube oil system of the gas turbine Generator package shall be as per API 614
(latest edition).";0
"UPS shall be used to feed 115 V AC, 50 Hz, 1 phase power supply to the
instrumentation system,";0
"Exhaust air ducting including
supporting steel structure";0
"All welders and welding
procedures shall be currently qualified in accordance with welding qualification
Section II A.S.M.E. Boiler and Pressure Vessel Code or equal test as approved
by the Engineer.";0
"It shall be noted that the Engineer may require to test and inspect equipment
during manufacture at the manufacturer’s works.";0
"All indoor pipework shall be finished with 0.6ram plain aluminium
jacketing.";0
"The Contractor shall carryout the air analysis and shall utilize the analysis for filter
design.";0
"The filter house shall be fabricated from steel sheet material and supported by structural steel
members. The min. steel sheet-thickness shall be 4.5 mm and reinforced by steel members capable
to accept the design differential pressure.";0
All welding and connections must be air tight.;0
All washers shall be coated as per DIN 267-galCd8bk (B3G) or equivalent standard.;0
"The weather hood shall be made from corrosion resistant material and shall protect the inlet
opening from direct rain entrainment and shall be shaped to allow the air flow to the intake opening
from down side only in such a way, that the rain cannot come directly to the inlet air opening.";0
"Dust collected in the dirty airside shall be removed automatically without any accumulation of dust
in the filter house walkways, structure or filter elements.";0
"The Contractor shall guarantee a minimum lifetime of at least three years operation for the filter
elements. Any necessary replacement of elements during this period shall be executed by the
Contractor without any extra cost and with the liability or guarantee of the whole filter set renewed
for another two years onwards.";0
"The Dust extraction fans shall efficiently remove dust collected in the dirty air side, it shall be
removed automatically without any accumulation of dust in the filter house walkways, structure or
filter elements. Three numbers of 50% capacity fans shall be provided.";0
"Silencers or equalling arrangement shall be incorporated for dust extraction fans to reduce the noise
level as per the International Standards (ISO 1996 & ISO 3746).";0
"The 3 x 50% electrically driven compressors and air dryer sets with accumulator tanks shall be
provided for pulse cleaning of the filters.";0
"Unless otherwise specified, all ball and roller anti-friction type bearings shall have a
minimum unadjusted L10 life of 100,000 hours as calculated in accordance with ISO 281.";0
"As another alternative, an elastic strain pre-load connection such as LOKRING may be
used.";0
"All hydraulic piping systems shall be pressure tested in accordance with the appropriate
British standards and shall be performed prior to commissioning.";0
"Unless otherwise specified, all ball and roller anti-friction type bearings shall have a
minimum unadjusted L10 life of 100,000 hours as calculated in accordance with ISO 281.";0
"Design
All tanks shall be designed in accordance with the latest edition of API 650.";0
"All fire protection/detection systems shall be installed by a Fire Protection Contractor
who holds current approval / authorisation from the Dubai Civil Defence and are
approved by the Company. The installations shall be strictly in accordance with the
guidelines laid out the Standards referenced in this document.";0
"The Gas Turbine shall be provided with Low Pressure CO2 Systems as part of the OEM
package and shall be designed in accordance with the run down time for the Turbines.";0
"Pressure transmitters for oil and natural gas shall be explosionproof/
intrinsically safe.";0
"The solenoid valves shall have a manual testing facility with a tool or special key
for testing purposes and normal status indication to avoid misuse / maloperation.";0
Units accepting either 4-20 mA signals or pulsed input signals shall be acceptable.;0
"The operator interface at the local control boards shall be done by
conventional instrumentation and/or with VDU with keyboard and
screen pointing utility as specified in the particular technical specification.";0
"Contractor's Supervisor shall submit a completed ""DUBAL Short Medical Assessment Form"" indicating the medical fitness of each contractor employee to DUBAL Assets Protection Department (Security) as a pre-requirement to issue the security gate pass.";0
"The Contractor shall procure the equipment, systems and services from the Company approved
Vendors listed in the enclosed table. If the Contractor proposes to engage or use any other Vendors
not in the approved Vendor List, specific approval from the Company shall be obtained in writing prior
to their appointment.";0
"When UAE Standards and Codes are more stringent than International
Standards and Codes the former shall take precedence.";0
The Power and Water Plant shall be designed for unmanned operation;0
"Redundant philosophy for critical system such as pumps/motors, compressors,
blowers, etc. shall be 3x50%, unless other specified.";0
"The Contractor shall be responsible for submitting all statutory calculations for the
third party verification and for all other calculations required by the Company.";0
"The
materials used in the construction of the Plant shall be of the highest quality and
selected particularly to meet the duties required of them.";0
Calibration equipment shall be supplied for all the instruments supplied.;0
"In addition all valves shall be fitted with limit
switches to indicate in the Control Room via the DCS that the valve is fully open and
fully closed.";0
"With the exception of the main cooling water pumps, all pumps should be rated 3 x
50% and motors over 50kW should be equipped with a Variable Speed Drive (VSD).";0
Hydrogen enlargement tank for seal oil system shall be provided by the Contractor.;0
"For Hydrogen cooled generators the Contractor shall provide a compatible CO2/N2
cylinder manifold purging system.";0
Primary overspeed protection for the GT shall comprise of minimum two sensors on the gas turbine generator shaft and three sensors on the power turbine shaft and are voted on high select and the selected value is compared to the overspeed limit.;0
"Permanent equipment for both on-load and off-load compressor cleaning shall be
provided for each gas turbine, allowing for the connection to a skid mounted washing
system.
A skid mounted mobile washing facility shall be supplied including all
necessary valves, pumps, heaters, pipework and flexible connections to the Plant
water supply systems.";0
"The TIAC system shall be
incorporated downstream of the gas turbine inlet air system filters.";0
"The chilled water system shall be in general designed as per
ASHRAE standards.";0
